model,client,horizon,rmse,mae,mean_actual,nmae,nrmse
LSTM,313,168,41615.2754,30545.7511,185339.88095238095,0.16480938124616615,0.22453492031049777
LSTM,155,24,3874.1823,3382.1615,68197.625,0.04959353789813062,0.05680817037250197
LSTM,155,48,4251.7919,3696.485,67988.39583333333,0.054369351632616233,0.06253702338297314
LSTM,155,168,8420.9657,5963.1482,72612.46428571429,0.0821229283244858,0.11597135261606503
LSTM,236,24,7001.7649,5264.0627,46083.291666666664,0.11422931196140323,0.15193716956344447
LSTM,236,48,5565.2795,4012.0532,45068.8125,0.08902061042766547,0.12348405008452353
LSTM,236,168,4956.4057,3977.1643,45445.32142857143,0.08751537396981773,0.10906305741043594
LSTM,167,24,621.9785,470.2102,22328.791666666668,0.021058470472540124,0.027855448216148434
LSTM,167,48,588.42,462.0153,22571.5625,0.020468910825291783,0.026069085824253414
LSTM,167,168,1398.6786,926.3073,23553.589285714286,0.03932764933461006,0.0593828219993768
LSTM,186,24,653.1844,584.7218,21295.75,0.027457206250073373,0.03067205428313161
LSTM,186,48,1237.3994,939.2917,21867.0,0.0429547583116111,0.056587524580417985
LSTM,186,168,1468.8045,1114.7295,22300.440476190477,0.049986882599478866,0.06586437167320526
LSTM,315,24,2283.2508,1636.7604,15169.458333333334,0.10789840771066862,0.15051630386714532
LSTM,315,48,2825.7474,1906.2577,15534.0625,0.12271469230923979,0.18190652960228532
LSTM,315,168,2601.7277,1857.2189,15138.630952380952,0.12268076986894928,0.17186017072374757
LSTM,290,24,854.8706,622.4033,11255.541666666666,0.05529749863955903,0.0759510848359882
LSTM,290,48,880.3171,639.7079,11390.9375,0.056159372308029955,0.077282234232257
LSTM,290,168,1628.4761,1104.0068,11793.77380952381,0.09360929061641686,0.13807930576767202
LSTM,179,24,639.6147,468.5555,10713.291666666666,0.04373590438668477,0.05970291110341904
LSTM,179,48,552.3889,425.0783,10727.625,0.039624641987392364,0.05149218955733446
LSTM,179,168,714.844,559.5401,10976.940476190477,0.050974139944884464,0.06512233545864003
LSTM,119,24,312.1045,225.4398,10409.708333333334,0.021656687467228108,0.029982060016090745
LSTM,119,48,418.8328,333.6837,10531.104166666666,0.03168553788084108,0.03977102432674637
LSTM,119,168,543.2776,456.8594,10688.47619047619,0.042743174224131014,0.05082834917891098
LSTM,314,24,1211.0159,917.8571,7330.25,0.12521497902527198,0.1652079942703182
LSTM,314,48,1199.4676,843.3568,7309.6875,0.11537521952887864,0.16409286990722927
LSTM,314,168,1662.1393,1095.3969,8043.922619047619,0.1361769564274715,0.20663293006625086
LSTM,317,24,12.9909,10.257,45.041666666666664,0.22772247918593894,0.2884196114708603
LSTM,317,48,15.4251,11.2609,39.375,0.2859911111111111,0.39174857142857145
LSTM,317,168,13.9171,10.0223,42.642857142857146,0.235028810720268,0.32636415410385256
LSTM,240,24,74.6038,55.1168,966.75,0.05701246444272045,0.07716969226790794
LSTM,240,48,63.0716,47.2563,969.9375,0.04872097428958052,0.06502645789032799
LSTM,240,168,68.6053,55.843,990.9107142857143,0.056355228775837526,0.06923459299706258
LSTM,26,24,49.3254,40.2845,289.5833333333333,0.1391119424460432,0.17033231654676262
LSTM,26,48,47.919,39.387,299.625,0.13145431789737172,0.1599299123904881
LSTM,26,168,57.1287,45.5607,302.7261904761905,0.150501348853671,0.1887140980769987
LSTM,203,24,53.1318,44.4735,737.2916666666666,0.06032009042102289,0.07206347555806725
LSTM,203,48,51.5452,42.4989,739.875,0.057440648758236186,0.06966744382497043
LSTM,203,168,72.6476,57.516,764.1607142857143,0.07526688944453531,0.09506848316313415
LSTM,134,24,80.7457,66.9775,380.2083333333333,0.17616000000000004,0.21237225205479454
LSTM,134,48,79.0388,63.4907,382.25,0.16609731850882928,0.20677253106605623
LSTM,134,168,70.6957,53.1966,318.80357142857144,0.16686324987397075,0.2217531619335686
LSTM,133,24,806.404,685.8574,10882.916666666666,0.06302146942838546,0.07409815077146904
LSTM,133,48,812.3322,672.6018,10897.291666666666,0.061721923260749045,0.07454441202898274
LSTM,133,168,1059.2103,915.9471,10532.994047619048,0.08695980419803305,0.10056117901627708
LSTM,220,24,38.2335,28.741,643.375,0.04467223625412862,0.05942646201670876
LSTM,220,48,36.8694,29.0124,650.0208333333334,0.04463303099259639,0.056720335886670296
LSTM,220,168,39.1386,28.637,677.3988095238095,0.0422749488150576,0.05777778090208518
LSTM,29,24,31.2299,25.4185,181.33333333333334,0.14017555147058824,0.17222371323529412
